Pays,Ville,Longitude,Latitude,Température,Humidité,Visibilité,Vitesse_vent
KZ,Zhezkazgan,67.7144,47.8043,21.01,32,10000,11.88
CN,Dazu,103.4217,34.583,13.53,90,10000,0.67
US,Eagle,-116.354,43.6954,11.78,85,10000,0.91
US,Kearney,-99.0815,40.6995,16.81,77,10000,0.45
ES,San Sebastian,-1.975,43.3128,22.1,68,10000,2.24
US,Wenatchee,-120.3103,47.4235,17.04,69,10000,0.45
US,Eau Claire,-91.4985,44.8114,15.0,92,10000,1.34
UG,Entebbe,32.4469,0.0644,24.35,59,10000,4.33
SD,Al-Ubayyid,30.2167,13.1842,36.11,28,10000,4.96
CO,El Bagre,-74.8086,7.5927,23.72,97,10000,0.17
DZ,El Bayadh,1.0193,33.6832,31.38,12,10000,3.74
IQ,Erbil,44.0106,36.1926,38.96,10,10000,4.31
CM,Ébolowa,11.15,2.9,28.58,60,10000,0.7
AU,Echuca,144.75,-36.1333,8.87,90,10000,3.87
MX,El Encanto,-92.4333,18.5,23.48,91,10000,1.55
CO,El Charco,-78.1105,2.4769,23.94,95,10000,0.96
GB,Edinburgh,-3.1965,55.9521,14.26,89,10000,3.58
HN,Erandique,-88.4667,14.2333,17.12,96,10000,1.66
US,Edwards Air Force Base,-117.9295,34.9045,15.66,45,10000,4.02
US,Needles,-114.6141,34.8481,24.12,24,10000,0.45
ES,Pamplona,-1.6432,42.8169,23.88,60,10000,4.47
ES,Reus,1.1069,41.1561,29.35,55,10000,3.58
MX,León,-101.6667,21.1167,14.57,88,10000,1.97
SD,Geneina,22.45,13.45,34.75,24,10000,2.34
RU,Belgorod,36.58,50.61,14.88,91,10000,4.27
IS,Egilsstadir,-14.3948,65.2653,15.81,52,10000,4.63
US,Egegik,-157.3758,58.2156,8.89,84,10000,8.65
AR,El Bolsón,-71.5167,-41.9667,1.64,99,451,2.05
RU,Yeniseysk,92.1703,58.4497,20.31,49,10000,1.67
AU,Einasleigh,144.1,-18.5167,17.93,69,10000,1.95
RU,Yeysk,38.2792,46.6989,23.84,53,10000,6.75
US,Fairbanks,-147.7164,64.8378,13.96,71,10000,0.71
NL,Gemeente Eindhoven,5.4667,51.4333,22.85,46,10000,4.63
CN,Nanchang,115.8833,28.6833,27.89,82,10000,2.2
KZ,Ekibastuz,75.3667,51.6667,21.96,34,10000,9.14
US,Elko,-115.5012,41.0002,10.42,67,10000,2.68
UA,Shakhtërsk,38.5167,48.0625,21.19,59,10000,6.47
US,Eagle Lake,-96.3336,29.5897,25.89,95,10000,1.79
VE,El Real,-69.9963,8.4353,24.42,88,10000,1.42
SD,Al-Fashir,25.3494,13.6279,35.77,22,10000,3.34
DZ,El Goléa,2.8833,30.5667,39.35,12,10000,5.54
BS,North Eleuthera,-76.6756,25.4628,27.7,78,10000,4.47
US,Elim,-78.9425,40.2979,17.88,97,5702,2.52
VE,El Recreo,-66.8833,10.5,23.54,73,10000,0.45
BR,Eldorado,-54.2836,-23.7869,16.31,76,10000,3.27
ZA,East London,27.9116,-33.0153,15.77,81,10000,9.55
EG,El-Tor,33.6254,28.2364,33.12,37,10000,9.37
VE,El Tigre,-64.2454,8.8875,25.94,78,10000,3.0
GB,Nottingham,-1.1505,52.9536,17.56,78,10000,4.2
US,San Francisco,-122.4194,37.7749,11.34,90,10000,6.71
AU,Emerald,148.1667,-23.5333,21.13,37,10000,3.61
DE,Emden,7.2167,53.3667,20.99,58,10000,7.59
ZA,Empangeni,31.8933,-28.762,22.24,60,10000,3.62
CN,Guiyang,106.7167,26.5833,22.34,89,10000,6.56
US,Emmonak,-164.5231,62.7778,9.57,86,10000,1.79
NL,Emmen,6.9069,52.7792,21.29,58,10000,6.71
RU,Nema,50.5011,57.5067,22.25,47,10000,2.73
IE,Emo,-7.21,53.0961,19.33,81,10000,0.89
AR,El Maitén,-71.1669,-42.0492,1.65,92,8223,2.34
US,Kenai,-151.2583,60.5544,8.22,94,10000,1.18
FI,Enontekiö,23.6322,68.3857,20.36,43,10000,1.16
PH,El Nido,119.3956,11.1858,26.52,87,10000,4.39
MX,El Rodeo (El Naranjo),-98.6,21.4667,22.41,94,10000,1.52
GB,Wendover,-0.7415,51.763,19.71,64,10000,0.89
CO,Medellín,-75.5636,6.2518,18.22,100,10000,0.9
US,El Dorado,-120.5177,38.7666,12.16,73,10000,1.34
VE,Elorza,-69.4976,7.0609,24.47,92,10000,1.86
ES,El Palomar,-2.9714,37.9575,35.55,16,10000,3.31
AU,Esperance,121.9,-33.8667,12.91,78,10000,5.45
EE,Pärnu,24.4971,58.3859,23.05,53,10000,2.57
AR,Esquel,-71.3167,-42.9,1.63,92,10000,2.36
SO,Erigavo,47.368,10.6162,25.48,42,10000,10.04
TR,Erzincan Province,39.5,39.75,27.74,32,10000,1.8
UA,Berdiansk,36.7894,46.7611,25.76,43,10000,7.11
DE,Erfurt,11.0333,50.9833,21.28,51,10000,5.46
RU,Yerbogachën,108.0108,61.2767,16.15,87,10000,3.16
US,Erie,-78.6664,42.7667,18.79,62,10000,4.22
BR,Erechim,-52.2739,-27.6342,13.36,84,10000,1.82
GB,Errol,-3.2128,56.3923,14.72,91,8810,0.89
NA,Windhoek,17.0832,-22.5594,13.95,26,10000,2.24
MN,Erdenet,104.0833,49.0333,11.28,82,10000,1.86
TR,Erzurum Province,41.5,40.0,24.5,36,10000,5.68
US,Escanaba,-87.0646,45.7453,11.81,72,10000,4.41
MX,Ensenada,-116.6167,31.8667,16.08,79,10000,2.66
GB,Shoreham-by-Sea,-0.2743,50.8341,20.49,69,10000,1.34
BR,Espinosa,-42.8192,-14.9261,22.48,55,10000,3.92
TR,Eskişehir,30.5206,39.7767,25.84,42,10000,4.24
RU,Elista,44.2558,46.3078,25.32,50,10000,5.81
