Ville,Description jour,Timezone,Latitude,Longitude,Date,Heure_locale,Max_Température,Min_Température,Température_actuelle,Humidité,Precipitation,Neige,Neige_densité,Vent_rafale,Vent_vitesse,Vent_direction,Pression,Nuage,Visibilité,Radiation_solaire,Energy_solaire,Soleil_coucher,Alerte_risk,Description_detailed,Conditions_météo,Alertes_météo,Alertes_description,Vitesse_vent
JapanJapan高松市,Similar temperatures continuing with a chance of rain multiple days.,Asia/Tokyo,34.339,134.045,2023-06-29,21:00:00,31.5,23.0,24.0,85.9,5.1,0.0,0.0,33.5,27.6,247.3,1008.5,62.9,,297.3,25.8,19:20:03,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,27.6
"Matsuyama, Japan",Similar temperatures continuing with a chance of rain multiple days.,Asia/Tokyo,33.8349,132.762,2023-06-29,21:00:00,27.0,23.5,26.9,85.7,6.1,0.0,0.0,15.5,20.5,174.5,1008.1,84.7,,266.8,23.0,19:23:49,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,20.5
"Toyama, Japan",Similar temperatures continuing with a chance of rain multiple days.,Asia/Tokyo,36.6981,137.215,2023-06-29,23:40:00,30.9,21.4,27.6,73.9,7.0,0.0,0.0,40.7,24.1,240.1,1006.4,61.0,,318.3,27.6,19:13:58,30.0,Clearing in the afternoon with storms possible.,"Rain, Partially cloudy",,,24.1
"Miyazaki, Japan",Similar temperatures continuing with a chance of rain multiple days.,Asia/Tokyo,31.9124,131.421,2023-06-29,23:00:00,32.9,24.0,26.9,74.5,0.2,0.0,0.0,32.8,33.4,218.4,1009.0,62.2,,267.6,23.2,19:24:11,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,33.4
Japan岡山市,Similar temperatures continuing with a chance of rain multiple days.,Asia/Tokyo,34.6636,133.91,2023-06-29,21:00:00,29.0,21.5,24.0,89.0,9.6,0.0,0.0,29.2,17.2,216.2,1008.5,87.1,,265.0,23.0,19:21:28,60.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,17.2
"Nagoya, Japan",Similar temperatures continuing with a chance of rain multiple days.,Asia/Tokyo,35.1507,136.919,2023-06-29,23:30:00,29.0,23.0,26.7,86.0,5.5,0.0,0.0,20.9,24.1,317.4,1007.4,68.5,,107.3,9.0,19:10:46,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,24.1
"Kochi, KL, India",Similar temperatures continuing with a chance of rain multiple days.,Asia/Kolkata,9.93604,76.26143,2023-06-29,20:00:00,31.0,25.9,26.1,86.0,13.4,0.0,0.0,20.5,22.3,318.4,1011.4,91.8,,286.0,24.5,18:49:20,10.0,Cloudy skies throughout the day with a chance of rain throughout the day.,"Rain, Overcast",,,22.3
"Thiruvananthapuram, KL, India",Similar temperatures continuing with a chance of rain multiple days.,Asia/Kolkata,8.50519,76.9514,2023-06-29,20:00:00,31.0,25.7,28.0,79.8,2.7,0.0,0.0,37.1,22.3,317.0,1011.2,69.9,,276.3,23.8,18:44:02,10.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,22.3
"Amritsar, Punjab, India",Similar temperatures continuing with a chance of rain Saturday & Sunday.,Asia/Kolkata,31.6335,74.8751,2023-06-29,20:00:00,35.0,28.0,33.0,75.3,1.6,0.0,0.0,25.9,18.4,122.4,1001.0,50.2,,236.8,20.6,19:39:41,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,18.4
"Dortmund, Nordrhein-Westfalen, Deutschland","Warming up with a chance of rain tomorrow, Saturday & Sunday.",Europe/Berlin,51.5166,7.4583,2023-06-29,16:25:00,23.9,17.9,22.2,72.8,1.2,0.0,0.0,28.8,12.7,191.0,1014.8,77.4,,107.9,9.3,21:51:12,10.0,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,,12.7
"Rijeka, Hrvatska",Similar temperatures continuing with a chance of rain multiple days.,Europe/Zagreb,45.3267,14.4472,2023-06-29,16:22:00,27.7,17.2,23.4,50.1,0.0,0.0,0.0,16.2,14.6,348.8,1015.9,8.9,,302.5,26.1,20:54:16,10.0,Clear conditions throughout the day.,Clear,Yellow thunderstorm warning,Thundershowers. lightning risk > 50 %,14.6
"Vaasa, Länsi- ja Sisä-Suomi, Suomi",Similar temperatures continuing with a chance of rain Sunday & Monday.,Europe/Helsinki,63.0984,21.6261,2023-06-29,17:20:00,25.0,12.9,24.0,64.8,0.0,0.0,0.0,21.6,14.7,312.7,1008.2,22.0,,250.0,21.5,23:43:31,10.0,Partly cloudy throughout the day.,Partially cloudy,Forest fire warning,A risk of forest fires is high on from the night between Friday and Saturday to the night between Saturday and Sunday with probability of 30 %.,14.7
"Molde, Møre og Romsdal, Norge",Similar temperatures continuing with a chance of rain multiple days.,Europe/Oslo,62.7397,7.19132,2023-06-29,16:20:00,16.9,12.9,14.9,81.5,7.3,0.0,0.0,16.6,24.0,303.9,1010.8,93.3,,47.1,4.1,23:34:56,10.0,Cloudy skies throughout the day with a chance of rain throughout the day.,"Rain, Overcast",,,24.0
"Turku, Lounais-Suomi, Suomi",Similar temperatures continuing with a chance of rain multiple days.,Europe/Helsinki,60.4528,22.2516,2023-06-29,17:20:00,26.0,11.0,20.0,70.1,0.8,0.0,0.0,24.1,11.5,306.1,1008.0,26.3,,169.0,14.6,23:02:38,10.0,Becoming cloudy in the afternoon with afternoon rain.,"Rain, Partially cloudy",Forest fire warning,A forest fire warning is in force.,11.5
"Kiruna, Norrbottens län, Sverige",Similar temperatures continuing with a chance of rain multiple days.,Europe/Stockholm,67.8555,20.2224,2023-06-29,16:20:00,21.1,12.0,21.9,64.3,0.9,0.0,0.0,29.5,13.0,21.8,1010.0,52.3,,308.0,26.6,00:00:00,10.0,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,,13.0
"Klagenfurt am Wörthersee, Kärnten, Österreich",Similar temperatures continuing with a chance of rain multiple days.,Europe/Vienna,46.6206,14.3104,2023-06-29,16:20:00,26.0,10.0,25.9,65.0,0.0,0.0,0.0,18.4,9.3,202.8,1017.5,22.1,,368.5,32.0,21:00:09,10.0,Partly cloudy throughout the day.,Partially cloudy,,,9.3
"Innsbruck, Tirol, Österreich",Warming up with a chance of rain multiple days.,Europe/Vienna,47.268,11.3913,2023-06-29,16:20:00,28.0,9.0,28.9,64.9,0.1,0.0,0.0,32.4,11.2,291.4,1017.0,43.3,,339.7,29.5,21:14:37,10.0,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",Rainwarning,Total rain amounts up to 60 mm are expected.,11.2
"Košice, Košický kraj, Slovenská Republika","Similar temperatures continuing with a chance of rain Saturday, Sunday & Thursday.",Europe/Bratislava,48.7168,21.2533,2023-06-29,16:30:00,24.3,14.0,23.4,69.7,0.7,0.0,0.0,18.7,9.4,256.3,1014.7,61.4,,184.0,15.7,20:41:45,10.0,Partly cloudy throughout the day with rain clearing later.,"Rain, Partially cloudy",,,9.4
"Podgorica, Crna Gora",Similar temperatures continuing with a chance of rain multiple days.,Europe/Podgorica,42.4355,19.2639,2023-06-29,16:30:00,29.3,19.9,27.8,48.3,0.7,0.0,0.0,25.9,28.7,350.5,1014.0,48.3,,352.6,30.4,20:24:07,10.0,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",,,28.7
"Варна, България",Similar temperatures continuing with a chance of rain Sunday & Monday.,Europe/Sofia,43.2063,27.9252,2023-06-29,17:30:00,26.0,15.0,25.9,66.4,2.0,0.0,0.0,25.6,25.7,306.3,1013.8,50.8,,242.6,21.0,20:52:15,10.0,Partly cloudy throughout the day with rain clearing later.,"Rain, Partially cloudy",,,25.7
"أربيل, العراق",Similar temperatures continuing with no rain expected.,Asia/Baghdad,36.1911,44.0121,2023-06-29,17:00:00,41.0,27.0,40.0,15.4,0.0,0.0,0.0,34.9,22.3,236.5,1004.2,0.3,,341.6,29.3,19:25:20,10.0,Clear conditions throughout the day.,Clear,,,22.3
"Kelowna, BC, Canada",Similar temperatures continuing with no rain expected.,America/Vancouver,49.887,-119.497,2023-06-29,07:38:00,27.3,15.3,20.0,51.4,0.127,0.0,0.0,33.1,30.2,219.7,1012.9,39.2,,297.1,25.8,21:10:23,10.0,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",,,30.2
"Prince George, BC, Canada","Warming up with a chance of rain tomorrow, Saturday & Sunday.",America/Vancouver,53.9124,-122.745,2023-06-29,07:30:00,22.4,10.9,16.3,64.4,2.5,0.0,0.0,21.2,16.5,242.7,1012.3,54.8,,286.4,24.9,21:46:12,10.0,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",,,16.5
"Terrace, BC, Canada",Warming up with a chance of rain tomorrow & Saturday.,America/Vancouver,54.5159,-128.603,2023-06-29,07:00:00,21.2,14.0,14.0,67.0,3.0,0.0,0.0,32.0,30.2,189.5,1014.6,63.9,,285.7,24.7,22:13:36,10.0,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",,,30.2
"Raleigh, NC, United States",Similar temperatures continuing with a chance of rain multiple days.,America/New_York,35.7855,-78.6427,2023-06-29,10:40:00,31.2,18.8,27.2,67.8,0.0,0.0,0.0,11.2,11.0,119.7,1016.2,25.7,,330.7,28.6,20:34:48,10.0,Partly cloudy throughout the day.,Partially cloudy,Air Quality Alert,"...AIR QUALITY ALERT IN EFFECT UNTIL MIDNIGHT EDT TONIGHT...
The North Carolina Department of Environmental and Natural Resources
in Raleigh NC has issued a Code Orange Air Quality Action Day for
Fine Particulates, until midnight EDT tonight.
An Air Quality Action Day means that Fine Particulates
concentrations within the region may approach or exceed unhealthy
standards. For additional information, please visit the North
Carolina Division of Air Quality Web site at
https://airquality.climate.ncsu.edu",11.0
"Winnipeg, MB, Canada",Cooling down with a chance of rain tomorrow.,America/Winnipeg,49.8995,-97.1411,2023-06-29,09:38:00,24.4,17.3,20.2,75.8,0.8,0.0,0.0,27.7,18.7,310.3,1009.2,40.1,,214.3,18.4,21:41:02,10.0,Partly cloudy throughout the day with a chance of rain.,"Rain, Partially cloudy",,,18.7
"Kamloops, BC, Canada",Similar temperatures continuing with no rain expected.,America/Vancouver,50.6759,-120.339,2023-06-29,07:40:00,29.6,18.5,19.8,47.4,0.0,0.0,0.0,27.4,24.5,227.8,1013.0,52.8,,313.8,27.3,21:17:47,10.0,Partly cloudy throughout the day.,Partially cloudy,,,24.5
"Thunder Bay, ON, Canada",Similar temperatures continuing with a chance of rain tomorrow & Saturday.,America/Thunder_Bay,48.3817,-89.2455,2023-06-29,10:00:00,14.0,11.7,11.8,92.2,9.7,0.0,0.0,33.1,21.8,78.4,1009.7,87.4,,165.4,14.3,22:02:08,10.0,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,,21.8
"Monkton Ave, Etobicoke, ON M8Z, Canada","Similar temperatures continuing with a chance of rain tomorrow, Sunday & Monday.",America/Toronto,43.64222,-79.52113,2023-06-29,10:40:00,23.9,13.6,21.3,56.0,0.0,0.0,0.0,16.6,11.2,236.0,1016.4,43.7,,302.3,26.0,21:03:37,10.0,Partly cloudy throughout the day.,Partially cloudy,air quality,"
High levels of air pollution due to smoke from forest fires will likely return today or tonight.

Smoke plumes from forest fires in northeastern Ontario and Quebec is forecast to return to the area today or tonight. As a result, the air quality is expected deteriorate once again. The poor air quality will likely last into Friday.

Air quality and visibility due to wildfire smoke can fluctuate over short distances and can vary considerably from hour to hour.

For more details, please consult www.canada.ca/en/environment-climate-change/services/air-quality-health-index/wildfire-smoke.html.

###

Wildfire smoke can be harmful to everyone’s health even at low concentrations. Everyone can take action to reduce their exposure to wildfire smoke.

People with lung disease (such as asthma) or heart disease, older adults, children, pregnant people, and people who work outdoors are at higher risk of experiencing health effects caused by wildfire smoke. Speak with your health care provider about developing a management plan for wildfire smoke events and maintaining a supply of necessary medications at home and always carrying these medications with you during wildfire season.

Visit www.airhealth.ca for information on how to reduce your health risk and your personal contribution to pollution levels, as well as for current and forecast AQHI values.

Please continue to monitor alerts and forecasts issued by Environment Canada.
",11.2
"St John's, NL, Canada",Cooling down with a chance of rain Tuesday & Wednesday.,America/St_Johns,47.5608,-52.7122,2023-06-29,12:05:00,26.3,17.0,26.2,83.5,0.4,0.0,0.0,42.5,25.0,229.5,1027.5,73.5,,267.3,23.0,21:02:18,10.0,Partly cloudy throughout the day with morning rain.,"Rain, Partially cloudy",,,25.0
"Saskatoon, SK, Canada",Similar temperatures continuing with a chance of rain multiple days.,America/Regina,52.1305,-106.659,2023-06-29,08:00:00,27.2,10.0,18.0,57.3,0.0,0.0,0.0,18.7,13.0,195.7,1013.6,16.9,,348.3,30.2,21:31:03,10.0,Clear conditions throughout the day.,Clear,,,13.0
"Indianapolis, IN, United States",Similar temperatures continuing with a chance of rain multiple days.,America/Indiana/Indianapolis,39.7669,-86.1501,2023-06-29,10:45:00,28.4,18.7,23.5,74.7,11.162,0.0,0.0,27.7,16.6,173.8,1012.8,69.2,,444.3,38.4,21:16:46,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",Air Quality Alert,"...AIR QUALITY ALERT IN EFFECT UNTIL 1 AM EDT FRIDAY...
The officials at the Indiana Department of Environmental Management
have declared an Air Action Day, in effect until 1 AM EDT Friday.
An Air Quality Action Day for PM 2.5 has been issued. Fine
particulate levels are expected to be in the Orange or Unhealthy for
Sensitive Groups range. Active children and adults, and people with
respiratory disease, such as asthma should limit prolonged outdoor
exposure.
Here are some recommended actions that the public can take:
* Carpool or use public transportation.
* Staying indoors whenever possible.
* Monitor indoor air quality by keeping air circulating and
checking on indoor filtration systems.
* Avoid using the drive-through and combine errands into one trip.
* Avoid refueling your vehicle or using gasoline-powered lawn
equipment until after 7pm.
* Turn off your engine when idling for more than 30 seconds.
* Conserve energy by turning off lights or setting the air
conditioner to 75 degrees or above.
For additional information, please visit the IDEM Smog page at:
https://www.apps.idem.in.gov/smogwatch",16.6
"Kalmar, Kalmar län, Sverige","Similar temperatures continuing with a chance of rain tomorrow, Saturday & Sunday.",Europe/Stockholm,56.6661,16.3639,2023-06-29,16:20:00,26.9,15.9,26.9,67.4,0.0,0.0,0.0,31.7,20.5,240.1,1010.6,45.0,,311.4,27.1,21:49:37,10.0,Clearing in the afternoon.,Partially cloudy,,,20.5
"Ponta Delgada, Portugal",Similar temperatures continuing with a chance of rain tomorrow.,Atlantic/Azores,37.7396,-25.6686,2023-06-29,14:30:00,23.0,20.2,23.0,78.1,0.9,0.0,,40.7,24.1,86.4,1028.2,69.0,,273.9,23.8,21:08:34,5.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,24.1
中国北京,Similar temperatures continuing with no rain expected.,Asia/Shanghai,39.9066,116.388,2023-06-29,22:30:00,38.0,19.0,29.0,51.8,0.0,0.0,0.0,39.6,21.6,193.4,999.6,8.0,,353.9,30.6,19:47:06,10.0,Clear conditions throughout the day.,Clear,,,21.6
中国成都,Similar temperatures continuing with a chance of rain Monday.,Asia/Shanghai,30.6719,104.076,2023-06-29,22:00:00,30.0,21.0,27.0,74.9,0.0,0.0,0.0,19.8,21.6,228.9,1005.1,64.8,,192.6,16.7,20:10:29,10.0,Partly cloudy throughout the day.,Partially cloudy,,,21.6
"الاقصر, مصر",Similar temperatures continuing with no rain expected.,Africa/Cairo,25.7024,32.6493,2023-06-29,17:00:00,40.1,27.0,39.0,21.7,0.0,0.0,0.0,47.2,31.3,322.0,1007.9,5.8,,329.8,28.6,19:44:39,10.0,Clear conditions throughout the day.,Clear,,,31.3
"Albany, NY, United States",Similar temperatures continuing with a chance of rain multiple days.,America/New_York,42.65156,-73.75521,2023-06-29,10:38:00,26.7,16.2,22.7,71.1,0.5,0.0,0.0,14.8,13.8,306.5,1015.3,66.8,,228.8,19.6,20:36:57,10.0,Partly cloudy throughout the day.,Partially cloudy,Air Quality Alert,"...AIR QUALITY ALERT IN EFFECT UNTIL MIDNIGHT EDT TONIGHT...
The New York State Department of Environmental Conservation at
Albany has issued a Air Quality Health Advisory for Fine
Particulates...until midnight EDT tonight.
Air quality levels in outdoor air are predicted to be greater than
an air quality index value of 100 for Fine Particulates. The air
quality index...or AQI...was created as an easy way to correlate
levels of different pollutants to one scale. The higher the AQI
value, the greater the health concern.
When pollution levels are elevated...the New York State Department
of Health recommends that individuals consider limiting strenuous
outdoor physical activity to reduce the risk of adverse health
effects. People who may be especially sensitive to the effects of
elevated levels of pollutants include the very young and those with
pre existing respiratory problems such as asthma or heart disease.
Those with symptoms should consider consulting their personal
physician.
For additional information, please visit the New York State
Department of Environmental Conservation website at,
https://on.ny.gov/nyaqi, or call the Air Quality Hotline at 800-535-
1345.",13.8
"Lambert Ter, St Louis, MO 63134, United States",Similar temperatures continuing with a chance of rain multiple days.,America/Chicago,38.7251,-90.3642,2023-06-29,09:45:00,36.7,27.8,32.9,56.7,0.3,0.0,0.0,35.3,27.2,196.5,1009.6,43.6,,275.6,23.8,20:30:21,75.0,Clearing in the afternoon.,Partially cloudy,Heat Advisory,"...HEAT ADVISORY REMAINS IN EFFECT FROM 10 AM THIS MORNING TO 7 PM
CDT FRIDAY...
* WHAT...Heat index values up to 109 expected.
* WHERE...Portions of south central and southwest Illinois. Portions
of central, east central, northeast, and southeast Missouri.
* WHEN...From 10 AM this morning to 7 PM CDT Friday.
* IMPACTS...Hot temperatures and high humidity may cause heat
illnesses.",27.2
"Fort Lauderdale, FL, United States",Similar temperatures continuing with a chance of rain multiple days.,America/New_York,26.1239,-80.1436,2023-06-29,10:45:00,31.2,25.0,31.2,81.5,30.792,0.0,0.0,22.3,16.6,178.5,1014.0,57.7,,239.3,20.7,20:16:47,60.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,16.6
"Bozeman, MT, United States",Cooling down with a chance of rain Monday & Tuesday.,America/Denver,45.6793,-111.032,2023-06-29,08:30:00,23.4,7.8,12.8,69.3,0.0,0.0,0.0,18.4,14.8,68.9,1015.5,21.6,,356.6,30.9,21:17:34,10.0,Partly cloudy throughout the day.,Partially cloudy,,,14.8
"Bradley St, East Hartford, CT 06118, United States","Similar temperatures continuing with a chance of rain Sunday, Monday & Tuesday.",America/New_York,41.7452,-72.6008,2023-06-29,10:45:00,27.3,18.7,22.9,68.9,0.041,0.0,0.0,14.8,14.3,283.7,1014.9,54.7,,221.8,19.1,20:29:09,10.0,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",,,14.3
"Eugene, OR, United States",Similar temperatures continuing with no rain expected.,America/Los_Angeles,44.0499,-123.088,2023-06-29,07:37:00,31.2,11.8,14.7,58.6,0.0,0.0,0.0,20.5,14.8,340.9,1016.3,4.4,,356.6,30.6,20:59:24,10.0,Clear conditions throughout the day.,Clear,,,14.8
"Columbus, OH, United States",Similar temperatures continuing with a chance of rain multiple days.,America/New_York,39.962,-83.0028,2023-06-29,10:40:00,30.6,16.9,25.4,68.0,0.3,0.0,0.0,16.6,14.8,164.8,1014.9,50.9,,308.5,26.5,21:04:49,10.0,Partly cloudy throughout the day.,Partially cloudy,Air Quality Alert,"...AIR QUALITY ALERT IN EFFECT UNTIL MIDNIGHT EDT TONIGHT...
The Mid-Ohio Regional Planning Commission has issued an Air Quality
Alert for Central Ohio, until midnight EDT tonight.
The Agency expects to see levels of fine particulates in the
`unhealthy for sensitive groups` range on the Air Quality Index. To
decrease the potential for health issues, sensitive groups of people
(children, elderly, people with asthma or COPD) should limit
prolonged or strenuous outdoor activity.
For additional information, please visit the Mid-Ohio Regional
Planning Commission`s website at morpc.org/airquality.",14.8
"Richmond, VA, United States",Similar temperatures continuing with a chance of rain multiple days.,America/New_York,37.5407,-77.4337,2023-06-29,10:39:00,30.0,16.9,26.7,65.0,0.0,0.0,0.0,11.2,8.8,41.9,1017.1,11.3,,337.1,29.1,20:35:02,10.0,Clear conditions throughout the day.,Clear,Air Quality Alert,"...AIR QUALITY ALERT IN EFFECT UNTIL MIDNIGHT EDT TONIGHT...
The Virginia Department of Environmental Quality has issued a Code
ORANGE Air Quality Alert across the Richmond Metro Area...for Fine
Particulates...from midnight tonight to midnight EDT Thursday night.
Air quality is expected to reach code ORANGE...which is unhealthy
for sensitive groups...and means individuals with respiratory
and/or heart ailments...older adults...and children should reduce
prolonged or heavy outdoor exertion.
An Air Quality Alert means that Fine Particulates concentrations
within the region may approach or exceed unhealthy standards. For
additional information...please visit the Virginia D E Q Air Quality
Web Site at http://www.deq.virginia.gov/AQforecast",8.8
"Aspen, CO, United States",Similar temperatures continuing with no rain expected.,America/Denver,39.19,-106.818,2023-06-29,08:45:00,20.0,5.6,16.9,27.2,0.0,0.0,0.0,44.3,29.5,227.8,1006.8,12.3,,363.3,31.4,20:37:37,10.0,Clear conditions throughout the day.,Clear,Red Flag Warning,"...RED FLAG WARNING REMAINS IN EFFECT FROM 11 AM THIS MORNING TO
8 PM MDT THIS EVENING FOR GUSTY WINDS, LOW RELATIVE HUMIDITY AND
DRY FUELS FOR FIRE WEATHER ZONES 203 AND 205 BELOW 7500 FEET...
* AFFECTED AREA...In Colorado, Fire Weather Zone 203 Lower
Colorado River and Fire Weather Zone 205 Colorado River
Headwaters below 7500 feet.
* WINDS...West 10 to 20 mph with gusts up to 35 mph.
* RELATIVE HUMIDITY...10 to 15 percent.
* IMPACTS...Conditions will become favorable for easy ignition
and rapid spread of fires due to low relative humidity and
strong gusty winds.",29.5
"Shannon, Ireland",Similar temperatures continuing with a chance of rain multiple days.,Europe/Dublin,52.7102,-8.88222,2023-06-29,15:30:00,18.6,13.0,17.9,71.7,0.2,0.0,0.0,44.6,31.7,261.2,1019.2,83.4,,250.9,21.6,22:03:23,10.0,Partly cloudy throughout the day with late afternoon rain.,"Rain, Partially cloudy",,,31.7
"Memphis, TN, United States","Similar temperatures continuing with a chance of rain Tuesday, Wednesday & Thursday.",America/Chicago,35.1498,-90.0493,2023-06-29,09:45:00,37.3,25.9,31.4,68.4,0.0,0.0,0.0,24.1,16.6,197.8,1012.6,14.7,,292.3,25.2,20:18:39,100.0,Clear conditions throughout the day.,Clear,Excessive Heat Warning,"...EXCESSIVE HEAT WARNING REMAINS IN EFFECT FROM 11 AM THIS
MORNING TO 8 PM CDT FRIDAY...
* WHAT...Dangerously hot conditions with heat index values
between 110 to 115 degrees expected.
* WHERE...Portions of East Arkansas, North Mississippi, the
Missouri Bootheel, and West Tennessee.
* WHEN...From 11 AM this morning to 8 PM CDT Friday. Potential
exists for excessive heat to continue into Saturday.
* IMPACTS...Extreme heat and humidity will significantly
increase the potential for heat related illnesses,
particularly for those working or participating in outdoor
activities.",16.6
"Place Louis Armstrong, 45000 Orléans, France",Similar temperatures continuing with a chance of rain Saturday.,Europe/Paris,47.91301,1.92653,2023-06-29,16:30:00,26.0,15.9,24.9,69.1,0.2,0.0,0.0,41.8,18.1,330.1,1015.3,90.8,,191.8,16.7,21:55:21,10.0,Cloudy skies throughout the day with rain.,"Rain, Overcast",Moderate thunderstorm warning,"Moderate damages may occur, especially in vulnerable or in exposed areas and to people who carry out weather-related activities.",18.1
"Louisville, KY, United States",Similar temperatures continuing with a chance of rain multiple days.,America/Kentucky/Louisville,38.2549,-85.7667,2023-06-29,10:45:00,30.6,20.5,21.0,74.7,20.17,0.0,0.0,31.3,20.5,184.8,1014.5,49.4,,184.4,15.8,21:10:31,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",Air Quality Alert,"...AIR QUALITY ALERT IN EFFECT UNTIL MIDNIGHT EDT TONIGHT...
The Louisville Metro Air Pollution Control District and the Indiana
Department of Environmental Management have issued an Air Quality
Alert for today.
Members of sensitive groups may experience health effects. The
general public is not likely to be affected. Sensitive groups
include the elderly...children...persons with asthma or other
breathing problems...and persons with lung and heart disease.
People in these groups are advised to limit their outdoor
activities to reduce their exposure to ozone and particulate
pollution.
For more information, visit the Louisville Metro Air Pollution
Control District at http://www.louisvilleky.gov/apcd or the Indiana
Department of Environmental Management at http://www.in.gov/idem.",20.5
"Bergstrom Dr, Austin, TX 78719, United States",Similar temperatures continuing with no rain expected.,America/Chicago,30.1913,-97.66724,2023-06-29,09:45:00,37.8,25.0,28.9,64.7,0.0,0.0,0.0,35.3,22.3,177.1,1012.6,19.8,,314.8,27.2,20:36:18,60.0,Clear conditions throughout the day.,Clear,,,22.3
"Moline, IL, United States",Similar temperatures continuing with a chance of rain multiple days.,America/Chicago,41.4918,-90.4904,2023-06-29,09:45:00,30.6,20.1,26.9,71.2,20.3,0.0,0.0,33.5,13.0,239.5,1009.2,47.7,,240.7,20.8,20:39:50,60.0,Partly cloudy throughout the day with storms possible.,Partially cloudy,Air Quality Alert,"...AIR QUALITY ALERT IN EFFECT WEDNESDAY THROUGH THURSDAY NIGHT...
The Illinois Environmental Protection Agency forecasts Unhealthy (U) for
fine particulate matter statewide on Wednesday, June 28th and Unhealthy for
Sensitive Groups (USG) for fine particulate matter statewide for Thursday,
June 29th.
Smoke from wildfires in Canada continues in the region, pushing air
quality into the unhealthy or worse categories. Air Quality
Index (AQI) forecasts and levels can normally be found at
AirNow.gov, but the unique widespread nature of this episode prompted
this additional NWS alert.
Sensitive individuals, including people with heart or lung disease, older
adults, children and teenagers, minority populations, and outdoor workers,
should avoid long or intense outdoor activity. Everyone else should reduce
long our intense outdoor activity and take more breaks during outdoor activity.
Residents are urged to reduce pollution levels. Air quality forecasts
and tips on how you can reduce your emissions and protect your health
can be found at www.airnow.gov
Media Contact...217 558 1536.",13.0
"Rochester, NY, United States",Similar temperatures continuing with a chance of rain tomorrow & Monday.,America/New_York,43.1558,-77.61632,2023-06-29,10:45:00,26.7,13.3,20.9,71.7,0.3,0.0,0.0,16.6,12.8,291.7,1016.6,57.8,,304.9,26.3,20:54:13,10.0,Clearing in the afternoon.,Partially cloudy,Air Quality Alert,"...AIR QUALITY ALERT IN EFFECT UNTIL MIDNIGHT EDT TONIGHT...
The New York State Department of Environmental Conservation at
Albany has issued an Air Quality Health Advisory for Fine
Particulates until midnight EDT tonight.
Air quality levels in outdoor air are predicted to be greater than
an Air Quality Index value of 160 for Fine Particulates today. The
Air Quality Index...or AQI...was created as an easy way to correlate
levels of different pollutants to one scale. The higher the AQI
value...the greater the health concern.
When pollution levels are elevated...the New York State Department
of Health recommends that individuals consider limiting strenuous
outdoor physical activity to reduce the risk of adverse health
effects. People who may be especially sensitive to the effects of
elevated levels of pollutants include the very young and those with
pre-existing respiratory problems such as asthma or heart disease.
Those with symptoms should consider consulting their personal
physician.
For additional information, please visit the New York State
Department of Environmental Conservation website at,
https://on.ny.gov/nyaqi, or call the Air Quality Hotline at
1 800 5 3 5, 1 3 4 5.",12.8
"Sacramento, CA, United States",Cooling down with no rain expected.,America/Los_Angeles,38.5794,-121.491,2023-06-29,07:30:00,38.4,13.4,16.7,50.8,0.0,0.0,0.0,24.1,16.6,246.0,1010.4,1.2,,360.1,31.2,20:34:24,10.0,Clear conditions throughout the day.,Clear,Heat Advisory,"...HEAT ADVISORY REMAINS IN EFFECT FROM 11 AM FRIDAY TO 11 PM PDT
SUNDAY...
* WHAT...Temperatures of 100 to 107 expected.
* WHERE...Southern Sacramento Valley, the Delta region, and
Mountains Southwestern Shasta County to Western Colusa County
Counties. Includes communities such as the Sacramento Metro
Area, Davis, Vacaville, Fairfield, and Vallejo.
* WHEN...From 11 AM Friday to 11 PM PDT Sunday.
* IMPACTS...Hot temperatures may cause heat illnesses to occur.
* ADDITIONAL DETAILS...Hottest temperatures are expected
Saturday. Area waterways will continue to run cold and fast,
creating dangerous conditions for those seeking relief in
rivers and lakes.",16.6
